entry	inferred_page	left_entry	right_entry	reason
6	1	5	7	same-page
29	3	28	30	same-page
106	17	105	107	same-page
117	18	116	118	same-page
181	31	180	182	same-page
206	34	205	207	same-page
208	34	207	210	same-page
209	34	207	210	same-page
216	34	215	217	same-page
322	52	321	323	same-page
347	57	346	348	same-page
357	58	356	358	same-page
408	65	407	409	same-page
443	71	442	445	same-page
444	71	442	445	same-page
451	72	450	452	same-page
653	103	652	654	same-page
747	111	746	748	same-page
822	121	821	823	same-page
842	123	841	843	same-page
849	124	848	851	same-page
850	124	848	851	same-page
854	124	853	856	same-page
855	124	853	856	same-page
877	127	876	878	same-page
952	140	951	953	same-page
990	145	989	991	same-page
1003	147	1002	1004	same-page
1039	151	1038	1040	same-page
1061	154	1060	1064	same-page
1062	154	1060	1064	same-page
1063	154	1060	1064	same-page
1083	156	1082	1084	same-page
1125	163	1124	1126	same-page
1150	167	1149	1151	same-page
1152	167	1151	1153	same-page
1192	172	1191	1194	same-page
1193	172	1191	1194	same-page
1195	172	1194	1196	same-page
1246	180	1245	1247	same-page
1254	181	1253	1255	same-page
1258	182	1257	1259	same-page
1265	187	1264	1266	same-page
1281	188	1280	1282	same-page
1286	189	1285	1287	same-page
1288	189	1287	1289	same-page
1297	190	1296	1299	same-page
1298	190	1296	1299	same-page
1324	194	1323	1325	same-page
1330	195	1329	1331	same-page
1338	197	1337	1339	same-page
1347	198	1346	1348	same-page
1360	199	1359	1361	same-page
1367	200	1366	1368	same-page
1417	207	1416	1418	same-page
1424	207	1423	1425	same-page
1430	208	1429	1431	same-page
1475	215	1474	1476	same-page
1514	220	1513	1515	same-page
1516	220	1515	1517	same-page
1611	237	1610	1612	same-page
1647	242	1646	1648	same-page
1680	247	1679	1683	same-page
1681	247	1679	1683	same-page
1682	247	1679	1683	same-page
1684	247	1683	1685	same-page
1834	271	1833	1835	same-page
1851	273	1850	1853	same-page
1852	273	1850	1853	same-page
1854	273	1853	1856	same-page
1855	273	1853	1856	same-page
1892	280	1891	1895	same-page
1893	280	1891	1895	same-page
1894	280	1891	1895	same-page
1896	280	1895	1897	same-page
1911	283	1910	1912	same-page
2079	310	2078	2080	same-page
2114	317	2113	2115	same-page
2218	334	2217	2219	same-page
2226	336	2225	2228	same-page
2227	336	2225	2228	same-page
2232	337	2231	2233	same-page
2246	339	2245	2247	same-page
2308	349	2307	2312	same-page
2309	349	2307	2312	same-page
2310	349	2307	2312	same-page
2311	349	2307	2312	same-page
2319	350	2318	2320	same-page
2323	350	2322	2324	same-page
2326	350	2325	2327	same-page
2364	355	2363	2365	same-page
2415	362	2414	2417	same-page
2416	362	2414	2417	same-page
2492	370	2491	2493	same-page
2495	370	2494	2496	same-page
2524	375	2523	2525	same-page
2541	377	2540	2543	same-page
2542	377	2540	2543	same-page
2589	383	2588	2590	same-page
2599	384	2598	2600	same-page
2666	395	2665	2669	same-page
2667	395	2665	2669	same-page
2668	395	2665	2669	same-page
2674	396	2673	2675	same-page
2708	399	2707	2709	same-page
2751	406	2750	2752	same-page
2792	411	2791	2793	same-page
2838	416	2837	2839	same-page
2852	417	2851	2853	same-page
2854	417	2853	2856	same-page
2855	417	2853	2856	same-page
2870	420	2869	2872	same-page
2871	420	2869	2872	same-page
2873	420	2872	2875	same-page
2874	420	2872	2875	same-page
2891	422	2890	2892	same-page
2898	424	2897	2899	same-page
2916	427	2915	2917	same-page
2935	430	2934	2937	same-page
2936	430	2934	2937	same-page
2943	431	2942	2944	same-page
2949	432	2948	2950	same-page
2969	434	2968	2970	same-page
2985	436	2984	2986	same-page
2989	436	2988	2990	same-page
2991	436	2990	2992	same-page
3035	442	3034	3036	same-page
3037	442	3036	3038	same-page
3129	457	3128	3130	same-page
3136	458	3135	3137	same-page
3166	461	3165	3167	same-page
3186	465	3185	3187	same-page
3194	466	3193	3195	same-page
3276	475	3275	3277	same-page
3310	479	3309	3311	same-page
3312	479	3311	3313	same-page
3314	479	3313	3315	same-page
3323	480	3322	3324	same-page
3424	494	3423	3425	same-page
3430	495	3429	3431	same-page
3446	497	3445	3447	same-page
3456	500	3455	3457	same-page
3458	500	3457	3459	same-page
3460	500	3459	3461	same-page
3462	500	3461	3463	same-page
3488	503	3487	3489	same-page
3503	504	3502	3504	same-page
3606	517	3605	3607	same-page
3635	520	3634	3636	same-page
3701	530	3700	3702	same-page
3725	533	3724	3726	same-page
3768	539	3767	3769	same-page
3778	540	3777	3779	same-page
3992	571	3991	3993	same-page
4012	573	4011	4013	same-page
4028	574	4027	4029	same-page
4042	576	4041	4043	same-page
4092	581	4091	4093	same-page
4118	587	4117	4119	same-page
4178	592	4177	4179	same-page
4329	611	4328	4330	same-page
4358	614	4357	4359	same-page
4433	622	4432	4434	same-page
4461	626	4460	4462	same-page
4686	656	4685	4687	same-page
4690	657	4689	4691	same-page
4756	666	4755	4757	same-page
4771	667	4770	4772	same-page
4779	668	4778	4780	same-page
4915	687	4914	4916	same-page
5007	698	5006	5008	same-page
5009	698	5008	5010	same-page
5018	699	5017	5019	same-page
5053	704	5052	5054	same-page
5110	710	5109	5111	same-page
5247	734	5246	5250	same-page
5248	734	5246	5250	same-page
5249	734	5246	5250	same-page
5265	735	5264	5267	same-page
5266	735	5264	5267	same-page
5325	743	5324	5326	same-page
5335	744	5334	5336	same-page
5349	745	5348	5350	same-page
5374	748	5373	5375	same-page
5393	750	5392	5394	same-page
5576	781	5575	5577	same-page
5642	790	5641	5643	same-page
5672	794	5671	5673	same-page
5771	807	5770	5772	same-page
5852	819	5851	5853	same-page
5899	826	5898	5900	same-page
5965	832	5964	5966	same-page
